"id","title","kana","cats","area","venue","venue_url","pref","start_date","end_date","date","dates","open_time","start_time","end_time","date_note","backup_date","status","rank","series_id","announced_date","is_additional","onsale_label","onsale_start","onsale_start_time","onsale_end","onsale_end_time","limited_sale","price","price_official","price_best","discount_pct","best_source","coupon_note","price_checked","price_condition","source","url","official_url","lat","lng","desc","note","parking","nearest_station"
"1","勝利の女神:NIKKE × 東京ドームシティ アトラクションズ『遊園地を奪還せよ、指揮官！』","","ent","東京都・文京区","東京ドームシティ アトラクションズ","https://at-raku.com/","tokyo","2026-09-10","2026-10-18","","","","","","","","","","","","","","","","","","","コラボチケット当日2,800円/7,000円/10,000円（税込・特典内容により3段階）","","","","","","2026-09-23","","公式サイト","https://at-raku.com/event/nikke/index.html","https://at-raku.com/event/nikke/index.html","35.7056","139.7519","スマートフォンゲーム『勝利の女神:NIKKE』が東京ドームシティ アトラクションズを期間限定でジャック。園内謎解きラリーやキャラクターボイス付きアトラクション、混雑日はLINE整理券制の限定グッズ、コラボメニューを楽しめる約5週間の企画。","3段階のチケットは特典内容の違いによるもので代表額を一つに絞れないため price_official は空欄。前売は終了し当日販売のみ","","JR水道橋駅西口/都営三田線水道橋駅A2出口/東京メトロ丸ノ内線・南北線後楽園駅2番出口/都営大江戸線春日駅6番出口"
"2","青鬼×東京ドームシティ アトラクションズ～青鬼祭～","","ent","東京都・文京区","東京ドームシティ アトラクションズ","https://at-raku.com/","tokyo","2026-10-23","2026-11-23","","","","","","","","","","","","","","","","","","","","","","","","","","","公式サイト","https://at-raku.com/event/aooni/index.html","https://at-raku.com/event/aooni/index.html","35.7056","139.7519","人気ホラーゲーム「青鬼」と東京ドームシティ アトラクションズがコラボするハロウィン企画「青鬼祭」。園内装飾やコラボアトラクション演出を予定。詳細は公式サイトで続報予定のため料金は現時点未発表。","","","JR水道橋駅西口/都営三田線水道橋駅A2出口/東京メトロ丸ノ内線・南北線後楽園駅2番出口/都営大江戸線春日駅6番出口"
"3","New Layers Paradise","","ent","東京都・文京区","東京ドームシティ アトラクションズ","https://at-raku.com/","tokyo","2026-10-03","2026-10-04","","","","","","","","","","","","","","","","","","","2日間共通コンプリートチケット6,800円（1日券は各3,980円〜）","6800","","","","","2026-09-23","","公式サイト","https://at-raku.com/event/cosplay/index.html","https://at-raku.com/event/cosplay/index.html","35.7056","139.7519","都内最大級のコスプレイベント。ベテランも初心者も楽しめる2日間開催のコスプレイベントで、園内アトラクションを衣装のまま楽しめる。","","","JR水道橋駅西口/都営三田線水道橋駅A2出口/東京メトロ丸ノ内線・南北線後楽園駅2番出口/都営大江戸線春日駅6番出口"
"4","コスプレフェスタTDC","","ent","東京都・文京区","東京ドームシティ アトラクションズ","https://at-raku.com/","tokyo","2026-10-18","2026-10-18","","","","","","","","","","","","","","","","","","","一般入場ワンデーチケット3,980円（アーリー入場付き4,980円）","3980","","","","","2026-09-23","","公式サイト","https://at-raku.com/event/cosplay/index.html","https://at-raku.com/event/cosplay/index.html","35.7056","139.7519","東京ドームシティのアトラクション乗り放題つきコスプレイベント。観覧車「ビッグ・オー」などに衣装のまま乗車でき、プリズムホールで受付・更衣・撮影登録を行う1日開催の企画。","","","JR水道橋駅西口/都営三田線水道橋駅A2出口/東京メトロ丸ノ内線・南北線後楽園駅2番出口/都営大江戸線春日駅6番出口"
"5","Godzilla AR: Godzilla VS Tokyo Dome","","ent","東京都・文京区","東京ドームシティ アトラクションズ","https://at-raku.com/","tokyo","2026-09-02","2026-12-02","","","","","","","","","","","","","","","","","","","利用料金1,300円","1300","","","","","2026-09-23","","公式サイト","https://at-raku.com/","https://at-raku.com/","35.7056","139.7519","","7歳以上対象。パスポート等の乗り放題料金には含まれない個別アトラクション扱い","","JR水道橋駅西口/都営三田線水道橋駅A2出口/東京メトロ丸ノ内線・南北線後楽園駅2番出口/都営大江戸線春日駅6番出口"
"6","日本全国!からぴち遊園地計画","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-09-04","2026-09-27","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）／ワンデーパス5,900円（オンライン5,500円）で入園可。コラボ限定チケットは前売のみ・よみランCLUB限定販売","1800","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","ひらかたパークや北海道グリーンランドなど全国5遊園地を巡回するキャラクター「からぴち」コラボの最終開催地。コラボアトラクションやオリジナルグッズ、フード、スタンプラリー、ミニゲームを園内で展開する期間限定企画。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"7","ワンデーパスが割引価格に！「学校行事振替休日キャンペーン」を開催！","","exp","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-09-14","2026-11-30","","","","","","","","","","","","","","","","","","","学校行事振替休日限定ワンデーパス：中高生3,700円／小学生・シニア3,100円／幼児1,500円","3700","","","","","2026-09-23","学校の振替休日であることの提示が必要","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","","対象は平日の学校行事振替休日。通常のおとな料金設定なし（中高生以下が対象）","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"8","リポビタンロケット☆ルナ ダーク・ザ・ライド","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-09-26","2026-11-01","","","","","","","","","","","","","","","","","","","無料（別途アトラクション利用料金が必要／各種パス利用可）","","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/dark_the_ride2026/","https://www.yomiuriland.com/event/dark_the_ride2026/","35.6367","139.5133","人気コースター「リポビタンロケット☆ルナ」がハロウィン期間限定でホラーバージョンに変身。日没後の暗いコースにホラー装飾とBGMが加わり、通常とは異なる恐怖とスリルを味わえる。14:30までは通常運行。","身長110cm以上、130cm未満は中学生以上の同乗が必要","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"9","ブルーロック×よみうりランド","","ent","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-10-02","2026-11-01","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）／ワンデーパス5,900円（オンライン5,500円）で入園可","1800","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","サッカー漫画「ブルーロック」とよみうりランドのコラボ企画。詳細な内容は公式イベント一覧・特設サイトで案内予定。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
"10","よみランハロウィン！～Jump in Party 2026～","","fam","東京都・稲城市","よみうりランド","https://www.yomiuriland.com/","tokyo","2026-09-26","2026-11-01","","","","","","","","","","","","","","","","","","","入園料1,800円（オンライン1,600円）で入園可。ショー・グリーティングは無料（別途入園料）。ワークショップは別料金（例：ヘアゴム600円）","1800","","","","","2026-09-23","","公式サイト","https://www.yomiuriland.com/event/","https://www.yomiuriland.com/","35.6367","139.5133","ハロウィン期間中の仮装パレードやキャラクターグリーティング、限定ワークショップなどを園内各所で展開するファミリー向け企画。仮装での来園者向け特典もある。","","A-1・A-2・C-1・C-2駐車場 平日1,500円・土日祝/特定日2,000円〜(B・D・Eは30分400円)","京王線「京王よみうりランド駅」からゴンドラ「スカイシャトル」/小田急線「読売ランド前駅」からバス"
