"id","title","kana","genre","screening_type","area","theater","theater_url","pref","release_date","end_date","date","dates","open_time","start_time","end_time","date_note","backup_date","status","rank","series_id","announced_date","is_additional","onsale_label","onsale_start","onsale_start_time","onsale_end","onsale_end_time","limited_sale","price","price_official","price_best","discount_pct","best_source","coupon_note","price_checked","price_condition","source","url","official_url","lat","lng","desc","note"
"1","ディスクロージャー・デイ","","foreign","new","東京都・港区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","tokyo","2026-10-01","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-09-30","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://disclosureday.jp/","https://disclosureday.jp/","35.6603","139.7296","スティーヴン・スピルバーグ監督最新作。79年間隠された政府機密文書を巡るSFサスペンス。エミリー・ブラント、ジョシュ・オコナー主演、音楽はジョン・ウィリアムズ。",""
"2","ママがもうこの世界にいなくても 私の命の日記","","jp-live","new","東京都・練馬区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","tokyo","2026-10-02","","","","","","","","","","","","","","ムビチケカード","","","2026-10-01","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケカード","","2026-09-24","公開日前日までの購入","映画.com","https://eiga.com/movie/106044/","https://www.mamaseka-movie.com/","35.7563","139.5990","21歳でステージ4大腸がんを宣告された実在の女性・遠藤和さんの手記を映画化。川口春奈×高杉真宙主演、監督は山戸結希。配給は東映。",""
"3","愛し合ってるかい？ 忌野清志郎が教えてくれた","","doc|music","new","東京都・新宿区","T・ジョイ","https://tjoy.jp/shinjuku_wald9/","tokyo","2026-10-02","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-01","23:59","特典Tシャツ付きムビチケ（店舗限定販売）","要問合せ","","","","","","","","映画ナタリー","https://www.toei-video.co.jp/kiyoshiro-movie/","https://www.toei-video.co.jp/kiyoshiro-movie/","35.6913","139.7040","忌野清志郎デビュー55周年記念ドキュメンタリー。日本武道館でのライブ映像を含む記録と、三浦友和・泉谷しげる・竹中直人らへのインタビューで表現の軌跡をたどる。",""
"4","マッチング TRUE LOVE","","jp-live","new","神奈川県・横浜市西区","TOHOシネマズ|109シネマズ|イオンシネマ|ユナイテッド・シネマ|MOVIX|T・ジョイ|USシネマ","https://www.unitedcinemas.jp/urawa/","kanagawa","2026-09-25","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-09-24","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://movies.kadokawa.co.jp/matching/","https://movies.kadokawa.co.jp/matching/","35.4657","139.6220","土屋太鳳×佐久間大介×内田英治監督が再集結する完全新章。南の島の「マッチングツアー」を舞台にしたラブサバイバル・スリラー。主題歌はLiSA書き下ろし。",""
"5","キリコのタクト～YELL～","","jp-live|music","new","神奈川県・海老名市","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","kanagawa","2026-10-02","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-01","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://eiga.com/movie/104436/","https://surf-entertainment.com/kiriko.html","35.4497","139.3897","いきものがかり「YELL」に着想を得た音楽ドラマ。鈴木京香が伝説の音楽教師役。神奈川県厚木市市制70周年記念事業としてオールロケ撮影された。",""
"6","藁にもすがる獣たち（2026）","","jp-live","new","茨城県・つくば市","TOHOシネマズ|109シネマズ|イオンシネマ|ユナイテッド・シネマ|MOVIX|T・ジョイ|USシネマ","https://www.unitedcinemas.jp/urawa/","ibaraki","2026-09-25","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-09-24","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://www.toei.co.jp/entertainment/movie/productionlist/detail/1248408_3641.html","https://warakemo-movie.com/","36.0850","140.0850","曽根圭介のミステリー小説を原作にしたサスペンス。城定秀夫監督、小林靖子共同脚本。鈴鹿央士主演、成宮寛貴・森七菜共演。配給は東映。",""
"7","ファーストボイス ー私たちの逆転裁判ー","","jp-live","new","茨城県・つくば市","USシネマ|TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ","","ibaraki","2026-10-02","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-01","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画ナタリー","https://movies.shochiku.co.jp/firstvoicemovie/","https://movies.shochiku.co.jp/firstvoicemovie/","36.0349","140.1330","日本初の「ハラスメント裁判」に挑んだ弁護士たちの実話に着想。1989年バブル期を舞台に綾瀬はるかが型破りな弁護士を演じる法廷劇。配給は松竹・ワーナー ブラザース映画。",""
"8","バッド・ルーテナント：トウキョウ","","jp-live","new","東京都・千代田区","TOHOシネマズ|109シネマズ|イオンシネマ|ユナイテッド・シネマ|MOVIX|T・ジョイ|USシネマ","https://www.unitedcinemas.jp/urawa/","tokyo","2026-10-23","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-22","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1700","23","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://blt-movie.jp/","https://blt-movie.jp/","35.8462","139.5460","三池崇史監督が小栗旬とリリー・ジェームズを起用し、新宿歌舞伎町を舞台に悪徳刑事とFBI捜査官の因縁を描くサスペンスアクション。米NEONが企画段階から北米配給を決めた異例の日米合作で、主題歌はAdo。",""
"9","ストリートファイター／ザ・ムービー","","foreign","new","東京都・葛飾区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","tokyo","2026-10-16","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-15","23:59","前売オンライン券（アクリルパネル付き）5,000円","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1500","32","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://eiga.com/movie/105732/","https://streetfighter-the-movie.jp/","35.7653","139.8524","カプコン格闘ゲーム原作の実写映画、全世界同時公開。1993年を舞台にリュウとケンが世界格闘王決定戦に挑む。ノア・センティネオ、アンドリュー・小路出演。配給東宝＝東和ピクチャーズ。",""
"10","劇場シリーズ【第一部】メイドインアビス 目覚める神秘","","anime","new","東京都・葛飾区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","tokyo","2026-10-23","","","","","","","","","","","","","","ムビチケカード","","","2026-10-22","","ぬいぐるみ付き前売券（ムビチケ）6,000円・数量限定","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1600","27","ムビチケカード","","2026-09-24","公開日前日までの購入","映画.com","https://miabyss.com/","https://miabyss.com/","35.7653","139.8524","人気漫画「メイドインアビス」劇場シリーズ第1部。深界七層へ挑む物語を描く。制作キネマシトラス、音楽ケヴィン・ペンキン。全国約153館規模で展開。","総集編のリバイバル上映も別途予定"
"11","うるわしの宵の月","","jp-live","new","東京都・千代田区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/081/","tokyo","2026-10-23","","","","","","","","","","","","","","ムビチケ前売券（カード/オンライン/コンビニ）","2026-07-31","","","","グッズ付き前売券（チャーム付きスライドミラー）3,150円","要問合せ","","","","","","2026-09-24","公開日前日までの購入","アニメイトタイムズ","https://uruwashi.toho-movie.jp/","https://uruwashi.toho-movie.jp/","35.6748","139.7595","やまもり三香の人気漫画を実写映画化。「王子」と呼ばれる道枝駿佑(なにわ男子)と安斉星来が演じる男女の等身大のファーストラブストーリー。",""
"12","クレイフェイス","","foreign","new","東京都・港区","TOHOシネマズ|イオンシネマ|109シネマズ|MOVIX|ユナイテッド・シネマ|T・ジョイ|USシネマ","https://www.tohotheater.jp/theater/010/","tokyo","2026-10-30","","","","","","","","","","","","","","ムビチケ前売券（オンライン券/カード券）","","","2026-10-29","23:59","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","2200","1500","32","ムビチケ前売券","","2026-09-24","公開日前日までの購入","映画.com","https://clayface-movie.jp/","https://clayface-movie.jp/","35.6285","139.7387","DCスタジオ最新ホラー。事故で顔を失った俳優が禁断の治療で怪物へと変貌するゴッサムのヴィラン誕生譚。トム・リス・ハリス主演、脚本マイク・フラナガン。配給東宝＝東和ピクチャーズ。",""
"13","プラクティカル・マジック／魔女たちの秘密","","foreign","new","東京都・千代田区","TOHOシネマズ|109シネマズ|イオンシネマ|ユナイテッド・シネマ|MOVIX|T・ジョイ|USシネマ","https://www.unitedcinemas.jp/urawa/","tokyo","2026-11-27","","","","","","","","","","","","","","","","","","","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","","","","","","","","映画.com","https://practicalmagic2-movie.jp/","https://practicalmagic2-movie.jp/","35.8462","139.5460","1999年公開のヒット作「プラクティカル・マジック」の27年ぶりの続編。サンドラ・ブロックとニコール・キッドマンが魔女姉妹役で再共演し、運命に立ち向かう新たな物語を描くファンタジー。",""
"14","アベンジャーズ／ドゥームズデイ","","foreign|tokusatsu","new","東京都・千代田区","TOHOシネマズ|109シネマズ|イオンシネマ|ユナイテッド・シネマ|MOVIX|T・ジョイ|USシネマ","https://www.unitedcinemas.jp/urawa/","tokyo","2026-12-18","","","","","","","","","","","","","","","","","","","","一般2,200円/大学生1,500円/高校生以下1,000円(目安、劇場により異なる)","","","","","","","","映画.com","https://eiga.com/movie/97593/","https://marvel.disney.co.jp/movie/avengers-doomsday","35.6749","139.7599","マーベル・シネマティック・ユニバース最新作。歴代アベンジャーズが結集し、新たな脅威“ドゥーム”に立ち向かう完結章の幕開け。全国のシネコンで日米同時公開。",""
"15","進行曲 マーチングボーイズ","","foreign","new","東京都・新宿区","シネマート新宿|横浜シネマリン","","tokyo","2026-10-23","","","","","","","","","","","","","","ムビチケ前売券（カード）","2026-08-28","","","","マーチング楽器チャーム(3種ランダム)特典付き","一般2,000円","2000","1600","20","ムビチケ前売券","","2026-09-24","公開日（10/23）前日までの購入","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","","","台湾発の青春部活映画。前売りムビチケカード1,600円（マーチング楽器チャーム特典付き）を両館で販売中。",""
"19","影を売る女","","foreign","new","東京都・新宿区","シネマート新宿","https://www.cinemart.co.jp/theater/shinjuku/","tokyo","2026-10-16","","","","","","","","","","","","","","","","","","","","要問合せ","","","","","","","","シネマート新宿公式","https://www.cinemart.co.jp/theater/shinjuku/","","35.6907","139.7053","幸せを求めて自らの影を売った主人公の運命を描く物語。10月16日よりロードショー。",""
