name,kind,pref,area,lat,lng,url,status,closed_until,first_seen,last_hit,hit_count,note
東京ドームシティ アトラクションズ,themepark,tokyo,,,,,active,,2026-08-02,,0,
よみうりランド,themepark,tokyo,東京都・稲城市,35.6367,139.5133,https://www.yomiuriland.com/,active,,2026-08-02,,0,
浅草花やしき,themepark,tokyo,東京都・台東区,35.7141,139.7942,https://www.hanayashiki.net/,active,,2026-08-02,,0,
サンリオピューロランド,themepark,tokyo,東京都・多摩市,35.6373,139.4459,https://www.puroland.jp/,active,,2026-08-02,,0,
東京ジョイポリス,themepark,tokyo,東京都・港区（台場）,35.6272,139.7745,https://tokyo-joypolis.com/,active,,2026-08-02,,0,
レゴランド・ディスカバリー・センター東京,themepark,tokyo,東京都・港区（台場）,35.6272,139.7745,https://www.legolanddiscoverycenter.com/tokyo/,active,,2026-08-02,,0,
東京サマーランド,themepark,tokyo,東京都・あきる野市,35.7472,139.2694,https://www.summerland.co.jp/,active,,2026-08-02,,0,
ワーナー ブラザース スタジオツアー東京 メイキング・オブ ハリー・ポッター,themepark,tokyo,東京都・練馬区,35.7391,139.6547,https://www.wbstudiotour.jp/,active,,2026-08-02,,0,
西武園ゆうえんち,themepark,saitama,埼玉県・所沢市,35.769024,139.4426543,https://www.seibuen-amusement-park.jp/index.html,active,,2026-08-02,,0,元リストの注記: 所在は埼玉
すみだ水族館,aquazoo,tokyo,東京都・墨田区,35.7101,139.8107,https://www.sumida-aquarium.com/,active,,2026-08-02,,0,
マクセル アクアパーク品川,aquazoo,tokyo,東京都・港区,35.6286,139.7392,https://www.aqua-park.jp/aqua/,active,,2026-08-02,,0,
サンシャイン水族館,aquazoo,tokyo,東京都・豊島区,35.7295,139.7189,https://sunshinecity.jp/aquarium/,active,,2026-08-02,,0,
葛西臨海水族園,aquazoo,tokyo,東京都・江戸川区,35.6417,139.8617,https://www.tokyo-zoo.net/zoo/kasai/,active,,2026-08-02,,0,
しながわ水族館,aquazoo,tokyo,東京都・品川区,35.5875,139.7364,https://www.aquarium.gr.jp/,active,,2026-08-02,,0,
上野動物園,aquazoo,tokyo,,,,,active,,2026-08-02,,0,
多摩動物公園,aquazoo,tokyo,東京都・日野市,35.6486,139.4067,https://www.tokyo-zoo.net/zoo/tama/,active,,2026-08-02,,0,
井の頭自然文化園,aquazoo,tokyo,,,,,active,,2026-08-02,,0,
東京国立博物館,museum,tokyo,東京都・台東区,35.7188,139.7765,https://www.tnm.jp/,active,,2026-08-02,,0,
国立西洋美術館,museum,tokyo,東京都・台東区,35.7156,139.7757,https://www.nmwa.go.jp/,active,,2026-08-02,,0,
国立科学博物館,museum,tokyo,,,,,active,,2026-08-02,,0,
国立新美術館,museum,tokyo,東京都・港区,35.6653,139.7263,https://www.nact.jp/,active,,2026-08-02,,0,
東京国立近代美術館,museum,tokyo,東京都・千代田区,35.6889,139.7548,https://www.momat.go.jp/,active,,2026-08-02,,0,
東京都美術館,museum,tokyo,東京都・台東区,35.7168,139.7714,https://www.tobikan.jp/,active,,2026-08-02,,0,
東京都現代美術館,museum,tokyo,東京都・江東区,35.6795,139.7999,https://www.mot-art-museum.jp/,active,,2026-08-02,,0,
東京都写真美術館,museum,tokyo,東京都・目黒区,35.6402,139.716,https://topmuseum.jp/,active,,2026-08-02,,0,
東京都庭園美術館,museum,tokyo,東京都・港区,35.6355,139.7247,https://www.teien-art-museum.ne.jp/,active,,2026-08-02,,0,
江戸東京博物館,museum,tokyo,,,,,active,,2026-08-02,,0,
江戸東京たてもの園,museum,tokyo,,,,,active,,2026-08-02,,0,
国立映画アーカイブ,museum,tokyo,,,,,active,,2026-08-02,,0,
森美術館,museum,tokyo,東京都・港区,35.6604,139.7292,https://www.mori.art.museum/,active,,2026-08-02,,0,
サントリー美術館,museum,tokyo,東京都・港区,35.6641,139.7301,https://www.suntory.co.jp/sma/,active,,2026-08-02,,0,
三菱一号館美術館,museum,tokyo,東京都・千代田区,35.6803,139.7639,https://mimt.jp/,active,,2026-08-02,,0,
根津美術館,museum,tokyo,東京都・港区,35.6626,139.7188,https://www.nezu-muse.or.jp/,active,,2026-08-02,,0,
アーティゾン美術館,museum,tokyo,東京都・中央区,35.6767,139.7724,https://www.artizon.museum/,active,,2026-08-02,,0,
山種美術館,museum,tokyo,東京都・渋谷区,35.6486,139.7186,https://www.yamatane-museum.jp/,active,,2026-08-02,,0,
太田記念美術館,museum,tokyo,東京都・渋谷区,35.6702,139.7038,https://www.ukiyoe-ota-muse.jp/,active,,2026-08-02,,0,
パナソニック汐留美術館,museum,tokyo,東京都・港区,35.6613,139.7595,https://panasonic.co.jp/ew/museum/,active,,2026-08-02,,0,
静嘉堂文庫美術館,museum,tokyo,東京都・千代田区,35.6803,139.7629,https://www.seikado.or.jp/,active,,2026-08-02,,0,
五島美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
松濤美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
世田谷美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
練馬区立美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
板橋区立美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
府中市美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
東京オペラシティ アートギャラリー,museum,tokyo,,,,,active,,2026-08-02,,0,
東京ステーションギャラリー,museum,tokyo,東京都・千代田区,35.6812,139.7671,https://www.ejrcf.or.jp/gallery/,active,,2026-08-02,,0,
21_21 DESIGN SIGHT,museum,tokyo,,,,,active,,2026-08-02,,0,
弥生美術館・竹久夢二美術館,museum,tokyo,,,,,active,,2026-08-02,,0,
岡本太郎記念館,museum,tokyo,,,,,active,,2026-08-02,,0,
国立近現代建築資料館,museum,tokyo,,,,,active,,2026-08-02,,0,
teamLab Borderless 麻布台ヒルズ,science,tokyo,,,,,active,,2026-08-02,,0,
teamLab Planets TOKYO,science,tokyo,,,,,active,,2026-08-02,,0,
日本科学未来館,science,tokyo,,,,,active,,2026-08-02,,0,
コニカミノルタプラネタリウム満天,science,tokyo,,,,,active,,2026-08-02,,0,
プラネタリアTOKYO,science,tokyo,,,,,active,,2026-08-02,,0,
多摩六都科学館,science,tokyo,,,,,active,,2026-08-02,,0,
TeNQ 宇宙ミュージアム,science,tokyo,,,,,active,,2026-08-02,,0,
東京ミステリーサーカス,science,tokyo,,,,,active,,2026-08-02,,0,
東京ビッグサイト,hall,tokyo,,,,,active,,2026-08-02,,0,
東京国際フォーラム,hall,tokyo,,,,,active,,2026-08-02,,0,
東京ドーム,hall,tokyo,東京都・文京区,35.7056,139.7519,https://www.tokyo-dome.co.jp/dome/,active,,2026-08-02,,0,
日本武道館,hall,tokyo,,,,,active,,2026-08-02,,0,
有明アリーナ,hall,tokyo,東京都・江東区,35.6428,139.7932,https://ariake-arena.tokyo/,active,,2026-08-02,,0,
東京ガーデンシアター,hall,tokyo,,,,,active,,2026-08-02,,0,
国立競技場,hall,tokyo,,,,,active,,2026-08-02,,0,
東京体育館,hall,tokyo,,,,,active,,2026-08-02,,0,
両国国技館,hall,tokyo,,,,,active,,2026-08-02,,0,
代々木第一体育館,hall,tokyo,,,,,active,,2026-08-02,,0,
TOKYO DREAM PARK,hall,tokyo,,,,,active,,2026-08-02,,0,
CREVIA BASE Tokyo,hall,tokyo,,,,,active,,2026-08-02,,0,
東京ビッグサイト南展示棟,hall,tokyo,,,,,active,,2026-08-02,,0,
東京芸術劇場,theater,tokyo,,,,,active,,2026-08-02,,0,
新国立劇場,theater,tokyo,,,,,active,,2026-08-02,,0,
帝国劇場,theater,tokyo,,,,,active,,2026-08-02,,0,
明治座,theater,tokyo,,,,,active,,2026-08-02,,0,
歌舞伎座,theater,tokyo,,,,,active,,2026-08-02,,0,
東急シアターオーブ,theater,tokyo,,,,,active,,2026-08-02,,0,
日生劇場,theater,tokyo,,,,,active,,2026-08-02,,0,
新橋演舞場,theater,tokyo,,,,,active,,2026-08-02,,0,
池袋PARCO,theater,tokyo,,,,,active,,2026-08-02,,0,
IHIステージアラウンド東京,theater,tokyo,,,,,active,,2026-08-02,,0,
東京ミッドタウン,mall,tokyo,東京都・港区,35.6641,139.7311,https://www.tokyo-midtown.com/,active,,2026-08-02,,0,
六本木ヒルズ,mall,tokyo,東京都・港区,35.6605,139.7292,https://www.roppongihills.com/,active,,2026-08-02,,0,
麻布台ヒルズ,mall,tokyo,東京都・港区,35.6636,139.7458,https://www.azabudai-hills.com/,active,,2026-08-02,,0,
渋谷スクランブルスクエア,mall,tokyo,東京都・渋谷区,35.658,139.7016,https://www.shibuya-scramble-square.com/,active,,2026-08-02,,0,
渋谷PARCO,mall,tokyo,,,,,active,,2026-08-02,,0,
東京スカイツリータウン,mall,tokyo,東京都・墨田区,35.7101,139.8107,https://www.tokyo-solamachi.jp/,active,,2026-08-02,,0,
池袋サンシャインシティ,mall,tokyo,,,,,active,,2026-08-02,,0,
お台場ダイバーシティ東京,mall,tokyo,,,,,active,,2026-08-02,,0,
豊洲千客万来,mall,tokyo,東京都・江東区,35.6462,139.7936,https://www.toyosu-senkyakubanrai.jp/,active,,2026-08-02,,0,
二子玉川ライズ,mall,tokyo,東京都・世田谷区,35.6115,139.6273,https://www.rise.sc/,active,,2026-08-02,,0,
西武渋谷店,mall,tokyo,,,,,active,,2026-08-02,,0,
松屋銀座,mall,tokyo,,,,,active,,2026-08-02,,0,
日本橋三越本店,mall,tokyo,,,,,active,,2026-08-02,,0,
東京タワー,mall,tokyo,東京都・港区,35.6586,139.7454,https://www.tokyotower.co.jp/,active,,2026-08-02,,0,
東京ミッドタウン日比谷,mall,tokyo,東京都・港区,35.6641,139.7311,https://www.tokyo-midtown.com/,active,,2026-08-02,,0,
新宿御苑,park,tokyo,,,,,active,,2026-08-02,,0,
浜離宮恩賜庭園,park,tokyo,,,,,active,,2026-08-02,,0,
六義園,park,tokyo,,,,,active,,2026-08-02,,0,
小石川後楽園,park,tokyo,,,,,active,,2026-08-02,,0,
昭和記念公園,park,tokyo,東京都・立川市,35.7056,139.4103,https://www.showakinen-koen.jp/,active,,2026-08-02,,0,
井の頭恩賜公園,park,tokyo,,,,,active,,2026-08-02,,0,
代々木公園,park,tokyo,東京都・渋谷区,35.6717,139.6949,https://www.yoyogikoen.info/,active,,2026-08-02,,0,
神宮外苑,park,tokyo,,,,,active,,2026-08-02,,0,
よこはまコスモワールド,themepark,kanagawa,,,,,active,,2026-08-02,,0,
横浜・八景島シーパラダイス,themepark,kanagawa,神奈川県・横浜市,35.3336,139.6459,https://www.seaparadise.co.jp/,active,,2026-08-02,,0,
相模湖プレジャーフォレスト,themepark,kanagawa,,,,,active,,2026-08-02,,0,
箱根小涌園ユネッサン,themepark,kanagawa,神奈川県・箱根町,35.2361,139.0392,https://www.yunessun.com/,active,,2026-08-02,,0,
川崎水族館カワスイ,themepark,kanagawa,,,,,active,,2026-08-02,,0,
新江ノ島水族館,aquazoo,kanagawa,,,,,active,,2026-08-02,,0,
よこはま動物園ズーラシア,aquazoo,kanagawa,神奈川県・横浜市,35.5194,139.5223,https://www.hama-midorinokyokai.or.jp/zoo/zoorasia/,active,,2026-08-02,,0,
野毛山動物園,aquazoo,kanagawa,,,,,active,,2026-08-02,,0,
金沢動物園,aquazoo,kanagawa,,,,,active,,2026-08-02,,0,
横浜美術館,museum,kanagawa,神奈川県・横浜市,35.4564,139.6317,https://yokohama.art.museum/,active,,2026-08-02,,0,
そごう美術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
神奈川県立近代美術館 葉山,museum,kanagawa,,,,,active,,2026-08-02,,0,
ポーラ美術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
箱根 彫刻の森美術館,museum,kanagawa,東京都・港区,35.6604,139.7292,https://www.mori.art.museum/,active,,2026-08-02,,0,
岡田美術館,museum,kanagawa,神奈川県・箱根町,35.2404,139.0356,https://www.okada-museum.com/,active,,2026-08-02,,0,
成川美術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
横須賀美術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
川崎市岡本太郎美術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
藤子・F・不二雄ミュージアム,museum,kanagawa,神奈川県・川崎市,35.6136,139.5453,https://fujiko-museum.com/,active,,2026-08-02,,0,
神奈川県立歴史博物館,museum,kanagawa,,,,,active,,2026-08-02,,0,
三菱みなとみらい技術館,museum,kanagawa,,,,,active,,2026-08-02,,0,
原鉄道模型博物館,museum,kanagawa,,,,,active,,2026-08-02,,0,
カップヌードルミュージアム横浜,museum,kanagawa,,,,,active,,2026-08-02,,0,
新横浜ラーメン博物館,museum,kanagawa,,,,,active,,2026-08-02,,0,
パシフィコ横浜,hall,kanagawa,,,,,active,,2026-08-02,,0,
Kアリーナ横浜,hall,kanagawa,,,,,active,,2026-08-02,,0,
横浜アリーナ,hall,kanagawa,,,,,active,,2026-08-02,,0,
ぴあアリーナMM,hall,kanagawa,,,,,active,,2026-08-02,,0,
日産スタジアム,hall,kanagawa,,,,,active,,2026-08-02,,0,
横浜スタジアム,hall,kanagawa,神奈川県・横浜市中区,35.4433,139.638,https://www.baystars.co.jp/game/schedule/2026/8,active,,2026-08-02,,0,
神奈川県民ホール,hall,kanagawa,,,,,active,,2026-08-02,,0,
相模原ギオンアリーナ,hall,kanagawa,,,,,active,,2026-08-02,,0,
横浜赤レンガ倉庫,landmark,kanagawa,神奈川県・横浜市,35.4534,139.6425,https://www.yokohama-akarenga.jp/,active,,2026-08-02,,0,
山下公園,landmark,kanagawa,,,,,active,,2026-08-02,,0,
三溪園,landmark,kanagawa,神奈川県・横浜市,35.4132,139.6653,https://www.sankeien.or.jp/,active,,2026-08-02,,0,
江の島,landmark,kanagawa,,,,,active,,2026-08-02,,0,
箱根強羅公園,landmark,kanagawa,,,,,active,,2026-08-02,,0,
大山阿夫利神社,landmark,kanagawa,神奈川県・伊勢原市,35.4372,139.2372,https://www.afuri.or.jp/,active,,2026-08-02,,0,
東武動物公園,themepark,saitama,埼玉県・南埼玉郡宮代町,36.0249605,139.7265721,https://www.tobuzoo.com/,active,,2026-08-02,,0,
ムーミンバレーパーク,themepark,saitama,埼玉県・飯能市,35.8719763,139.3258264,https://metsa-hanno.com/,active,,2026-08-02,,0,
国営武蔵丘陵森林公園,themepark,saitama,埼玉県・比企郡滑川町,36.0912983,139.3682749,https://www.shinrinkoen.jp/,active,,2026-08-02,,0,
巾着田,themepark,saitama,,,,,active,,2026-08-02,,0,
鉄道博物館,museum,saitama,埼玉県・さいたま市見沼区,35.9217287,139.617861,https://www.railway-museum.jp/,active,,2026-08-02,,0,
角川武蔵野ミュージアム,museum,saitama,埼玉県・所沢市,35.797689,139.5078666,https://kadcul.com/,active,,2026-08-02,,0,
埼玉県立近代美術館,museum,saitama,埼玉県・さいたま市浦和区,35.869598,139.643019,https://pref.spec.ed.jp/momas/,active,,2026-08-02,,0,
川越市立美術館,museum,saitama,,,,,active,,2026-08-02,,0,
さいたま市大宮盆栽美術館,museum,saitama,埼玉県・さいたま市北区,35.9285484,139.6335415,https://www.bonsai-art-museum.jp/,active,,2026-08-02,,0,
埼玉県立自然の博物館,museum,saitama,埼玉県・秩父郡長瀞町,36.0874899,139.1159825,https://shizen.spec.ed.jp/,active,,2026-08-02,,0,
埼玉県立歴史と民俗の博物館,museum,saitama,,,,,active,,2026-08-02,,0,
さいたまスーパーアリーナ,hall,saitama,,,,,active,,2026-08-02,,0,
ベルーナドーム,hall,saitama,,,,,active,,2026-08-02,,0,
埼玉県芸術劇場,hall,saitama,,,,,active,,2026-08-02,,0,
大宮ソニックシティ,hall,saitama,,,,,active,,2026-08-02,,0,
川越氷川神社,landmark,saitama,埼玉県・川越市,35.9271396,139.4887762,https://www.kawagoehikawa.jp/,active,,2026-08-02,,0,
秩父ミューズパーク,landmark,saitama,,,,,active,,2026-08-02,,0,
羊山公園,landmark,saitama,,,,,active,,2026-08-02,,0,
あしがくぼ,landmark,saitama,,,,,active,,2026-08-02,,0,
東京ディズニーランド,themepark,chiba,千葉県・浦安市,35.6329,139.8804,https://www.tokyodisneyresort.jp/tdl/event.html,active,,2026-08-02,,0,
東京ディズニーシー,themepark,chiba,,,,,active,,2026-08-02,,0,
ふなばしアンデルセン公園,themepark,chiba,千葉県・船橋市,35.7383,140.0522,https://www.park-funabashi.or.jp/and/,active,,2026-08-02,,0,
東京ドイツ村,themepark,chiba,千葉県・袖ケ浦市,35.3822,140.0403,https://t-doitsumura.co.jp/,active,,2026-08-02,,0,
マザー牧場,themepark,chiba,千葉県・富津市,35.2264,139.928,https://www.motherfarm.co.jp/,active,,2026-08-02,,0,
市原ぞうの国,themepark,chiba,,,,,active,,2026-08-02,,0,
