venue,kind,pref,area,capacity,lat,lng,url,status,closed_until,first_seen,last_hit,hit_count,note
国立競技場,dome,tokyo,東京都・新宿区,68000,35.6778,139.7146,https://www.jpnsport.go.jp/newstadium/,active,,2026-08-02,,0,
東京ドーム,dome,tokyo,東京都・文京区,55000,35.7056,139.7519,https://www.tokyo-dome.co.jp/dome/,active,,2026-08-02,2026-08-08,1,
味の素スタジアム,dome,tokyo,東京都・調布市,49000,35.6641,139.5272,https://www.ajinomotostadium.com/,active,,2026-08-02,2026-08-08,1,
有明アリーナ,arena,tokyo,東京都・江東区,15000,35.6434,139.7942,https://ariake-arena.tokyo/,active,,2026-08-02,2026-08-08,1,
日本武道館,arena,tokyo,東京都・千代田区,14000,35.6933,139.7497,https://www.nipponbudokan.or.jp/,active,,2026-08-02,2026-08-08,1,
国立代々木競技場第一体育館,arena,tokyo,東京都・渋谷区,13000,35.6683,139.7000,https://www.jpnsport.go.jp/yoyogi/,active,,2026-08-02,,0,
両国国技館,arena,tokyo,東京都・墨田区,11000,35.6967,139.7933,https://www.sumo.or.jp/KokugikanInfo/,active,,2026-08-02,,0,
東京体育館,arena,tokyo,東京都・渋谷区,10000,35.6800,139.7128,https://www.jpnsport.go.jp/tokyo-taiikukan/,active,,2026-08-02,,0,
武蔵野の森総合スポーツプラザ,arena,tokyo,東京都・調布市,10000,35.6625,139.5283,https://www.musashinonomori.tokyo/,active,,2026-08-02,,0,
東京ガーデンシアター,arena,tokyo,東京都・江東区,8000,35.6378,139.7921,https://www.bellesalle.co.jp/ariake_event-hall/visitor/index.php,active,,2026-08-02,2026-08-08,1,
大田区総合体育館,arena,tokyo,東京都・大田区,4000,35.5622,139.7169,https://www.ota-gym.jp/,active,,2026-08-02,,0,
東京国際フォーラム ホールA,hall,tokyo,東京都・千代田区,5012,35.6764,139.7639,https://www.t-i-forum.co.jp/,active,,2026-08-02,2026-08-08,1,総称: 東京国際フォーラム
NHKホール,hall,tokyo,東京都・渋谷区,3601,35.6672,139.6975,https://www.nhk-sc.or.jp/nhk_hall/,active,,2026-08-02,2026-08-08,1,
東京ドームシティホール,hall,tokyo,東京都・文京区,3000,35.7047,139.7528,https://www.tokyo-dome.co.jp/hall/,active,,2026-08-02,,0,ネーミングライツにより2025年4月1日〜2028年3月31日の契約で「Kanadevia Hall（カナデビアホール）」に改称
東京文化会館,hall,tokyo,東京都・台東区,2303,35.7147,139.7758,https://www.t-bunka.jp/,active,,2026-08-02,,0,
Bunkamuraオーチャードホール,hall,tokyo,東京都・渋谷区,2150,35.6614,139.6969,https://www.bunkamura.co.jp/orchard/,active,,2026-08-02,2026-08-08,1,
日比谷公会堂,hall,tokyo,東京都・千代田区,2085,35.6718,139.7558,http://hibiya-kokaido.com/,active,2029-04-01,2026-08-07,,0,耐震改修工事のため2016年から休館中。2028年末に改修完了見込み、開館100周年となる2029年に利用再開予定（正式な再開日は未定）
J:COMホール八王子,hall,tokyo,東京都・八王子市,2021,35.6547,139.3376,https://jcom.hall-info.jp/,active,,2026-08-07,,0,旧称：八王子市民会館
サントリーホール,hall,tokyo,東京都・港区,2006,35.6694,139.7397,https://www.suntory.co.jp/suntoryhall/,active,,2026-08-02,,0,
昭和女子大学 人見記念講堂,hall,tokyo,東京都・世田谷区,2000,35.6367,139.6633,https://hitomi.swu.ac.jp/,active,,2026-08-02,2026-08-08,1,
東京芸術劇場 コンサートホール,hall,tokyo,東京都・豊島区,1999,35.7306,139.7086,https://www.geigeki.jp/,active,,2026-08-02,2026-08-08,1,総称: 東京芸術劇場
LINE CUBE SHIBUYA,hall,tokyo,東京都・渋谷区,1956,35.6647,139.6975,https://www.line-cube-shibuya.com/,active,,2026-08-02,,0,
文京シビックホール,hall,tokyo,東京都・文京区,1802,35.7080,139.7529,https://www.b-academy.jp/hall/,active,,2026-08-07,,0,正式名称は響きの森文京公会堂。文京シビックセンター内
東京オペラシティ コンサートホール,hall,tokyo,東京都・新宿区,1632,35.6836,139.6864,https://www.operacity.jp/concert/,active,,2026-08-02,2026-08-08,1,
新宿文化センター,hall,tokyo,東京都・新宿区,1601,35.6954,139.7094,https://www.regasu-shinjuku.or.jp/bunka-center/,active,,2026-08-07,,0,
練馬文化センター,hall,tokyo,東京都・練馬区,1344,35.7394,139.6538,https://www.neribun.or.jp/nerima.html,active,,2026-08-07,,0,
なかのZERO,hall,tokyo,東京都・中野区,1292,35.7046,139.6712,https://www.nicesacademia.jp/zero/,active,,2026-08-07,,0,正式名称は中野区立もみじ山文化センター
